User Input,Response,sentiment
"maybe it was, but answer the question.","no, not recently.",neutral
"no, not recently.",i want to go to see a movie this weekend.,negative
i want to go to see a movie this weekend.,what's stopping you then?,neutral
what's stopping you then?,i don't want to go alone.,neutral
i don't want to go alone.,"so, will you be at school tomorrow?",suicide
"so, will you be at school tomorrow?","no, i want to go to the movies instead.",neutral
did you even bother to go to school today?,"yeah, i went. did you go?",negative
"yeah, i went. did you go?","no, i didn't feel like it.",neutral
"no, i didn't feel like it.","that's nice, have you been to the movies lately?",negative
"that's nice, have you been to the movies lately?","no, but that was a random change of subject.",positive
"no, but that was a random change of subject.","it may have been random, but have you?",neutral
"it may have been random, but have you?",i haven't lately.,neutral
i haven't lately.,i would love to catch a movie this weekend.,negative
i would love to catch a movie this weekend.,"so then, why don't you just go?",positive
"so then, why don't you just go?",i don't want to see a movie by myself.,neutral
i don't want to see a movie by myself.,"okay, so are you going to school tomorrow?",negative
thanks for coming to see me today.,it's no problem. i was really missing you anyway.,positive
it's no problem. i was really missing you anyway.,i missed you too.,negative
i missed you too.,why haven't you tried to come see me then?,negative
why haven't you tried to come see me then?,i've been really busy.,neutral
i've been really busy.,doing what?,neutral
doing what?,working.,neutral
working.,"i would've come to see you sooner, but i've been busy too.",neutral
"i would've come to see you sooner, but i've been busy too.",what have you been doing?,neutral
what have you been doing?,i've been working too.,neutral
i've been working too.,"well regardless, i'm very happy that you came to see me.",neutral
"well regardless, i'm very happy that you came to see me.",i am too.,positive
i'm really glad that you came to see me.,i had to. i was missing you a lot.,positive
i had to. i was missing you a lot.,i was missing you too.,negative
i was missing you too.,"so, why haven't you visited me?",negative
"so, why haven't you visited me?",i've actually been busy lately.,neutral
i've actually been busy lately.,what have you been doing?,neutral
what have you been doing?,i've just been working really hard.,neutral
i've just been working really hard.,i've also been busy.,negative
i've also been busy.,tell me what you've been doing.,neutral
tell me what you've been doing.,"basically, i've been working too.",neutral
"basically, i've been working too.","well whatever, i'm glad you came.",negative
"well whatever, i'm glad you came.",so am i.,positive
i'm really happy that you came to visit me.,i really missed you a lot.,positive
i really missed you a lot.,i've been missing you like crazy.,negative
i've been missing you like crazy.,i don't understand why you haven't come to visit me.,negative
i don't understand why you haven't come to visit me.,"lately, i've been quite busy.",neutral
"lately, i've been quite busy.",tell me what you've been up to.,negative
tell me what you've been up to.,i've really been working a lot lately.,neutral
i've really been working a lot lately.,i've been pretty busy myself.,positive
i've been pretty busy myself.,so what have you been up to?,positive
so what have you been up to?,i've just been working a lot.,neutral
i've just been working a lot.,"whatever the reason may be, i'm glad you visited me.",neutral
"hey, did you hear about jessica's party this weekend?","yeah, but i'm still waiting for my invitation.",neutral
"yeah, but i'm still waiting for my invitation.",oh really? she gave me mine earlier today.,neutral
oh really? she gave me mine earlier today.,"well, she'll probably just give me my invitation later on today.",positive
"well, she'll probably just give me my invitation later on today.","yeah, so are you planning on going?",neutral
"yeah, so are you planning on going?",i think so. it sounds like it's going to be a lot of fun.,neutral
i think so. it sounds like it's going to be a lot of fun.,"it really does, i can't wait.",positive
"it really does, i can't wait.",what time does the party start?,positive
what time does the party start?,it starts at 8 o'clock.,neutral
it starts at 8 o'clock.,"oh, well, how many people has she given invites to so far?",neutral
"oh, well, how many people has she given invites to so far?","i'm not sure, but i don't think she's given out that many.",negative
"i'm not sure, but i don't think she's given out that many.","well, hopefully she'll give me my invite later on today.",negative
have you heard about jessica's party on saturday?,"i've heard about it, but i'm still waiting for my invitation.",neutral
"i've heard about it, but i'm still waiting for my invitation.",really? i got mine from her this morning.,neutral
